,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.13176470588235295,0.10526315789473684,0.0,0.208,0.15789473684210525,0.0,0.236,0.21763085399449036,0.0,0.14113597246127366,0.0,0.06015037593984962,0.28416912487708945,0.06976744186046512,0.0,0.025974025974025976
KNeighborsUnif,REC,0.16374269005847952,0.08333333333333333,0.0,0.19047619047619047,0.022222222222222223,0.0,0.2714723926380368,0.21496598639455783,0.0,0.2433234421364985,0.0,0.06896551724137931,0.3155021834061135,0.017857142857142856,0.0,0.021052631578947368
KNeighborsUnif,F1,0.14602346805736638,0.0930232558139535,0.0,0.1988527724665392,0.03896103896103896,0.0,0.2524964336661911,0.216290212183436,0.0,0.17864923747276687,0.0,0.0642570281124498,0.29901707190894977,0.028436018957345967,0.0,0.023255813953488372
KNeighborsUnif,AUC,0.5681004764727839,0.5456468815209831,0.5447233220611643,0.5935645731214183,0.5252199129162479,0.5079039874637358,0.6035163696298207,0.5599049281011683,0.4954829742876998,0.6106951038575669,0.517216155853447,0.5321013977730396,0.5811161538864118,0.5464711190304858,0.49304911955514363,0.5451438000942952
KNeighborsDist,PRE,0.12861736334405144,0.08333333333333333,0.08333333333333333,0.19063004846526657,0.09615384615384616,0.0,0.22032193158953722,0.2290748898678414,0.0,0.15901060070671377,0.08333333333333333,0.09230769230769231,0.2737777777777778,0.033707865168539325,0.0,0.0
KNeighborsDist,REC,0.11695906432748537,0.041666666666666664,0.024096385542168676,0.21611721611721613,0.037037037037037035,0.0,0.33588957055214724,0.21224489795918366,0.0,0.13353115727002968,0.02912621359223301,0.05172413793103448,0.33624454148471616,0.017857142857142856,0.0,0.0
KNeighborsDist,F1,0.12251148545176109,0.05555555555555555,0.037383177570093455,0.20257510729613737,0.05347593582887701,0.0,0.2660996354799514,0.22033898305084745,0.0,0.14516129032258066,0.043165467625899276,0.06629834254143648,0.30181283684468396,0.023346303501945526,0.0,0.0
KNeighborsDist,AUC,0.5664661235901602,0.5462748280392611,0.5444769203754368,0.5943752457864828,0.5258889065171788,0.5076975202761366,0.6058881554303219,0.5602945453583987,0.4954829742876998,0.6106264836795253,0.5172826540579956,0.5330909083482424,0.5859728124134392,0.5475390923939737,0.49304911955514363,0.5436512072259858
NeuralNetFastAI,PRE,0.11176470588235295,0.0,0.0,0.16435643564356436,0.0,0.0,0.2479240806642942,0.1976284584980237,0.0,0.2102803738317757,0.0,0.046511627906976744,0.24813895781637718,0.04838709677419355,0.0,0.0
NeuralNetFastAI,REC,0.05555555555555555,0.0,0.0,0.152014652014652,0.0,0.0,0.3205521472392638,0.20408163265306123,0.0,0.13353115727002968,0.0,0.017241379310344827,0.4366812227074236,0.017857142857142856,0.0,0.0
